index,kana,kanji
48252,ｾﾅ,世奈
77593,ｲﾖﾘ,糸依
19889,ｱﾐ,亜海
21696,ｴﾘﾅ,依里菜
38184,ｲｼﾝ,伊慎
22183,ﾌｸﾓﾄ,普久本
32629,ｷｼﾛｳ,希志朗
13276,ｼｮｳﾍｲ,奨兵
52640,ｼﾊﾞｸｻ,柴草
24639,ﾕｷﾔ,道哉
52613,ｻｷﾐ,佐樹実
71055,ﾐﾔｺ,美弥子
46682,ﾀｹﾌﾐ,健文
32448,ﾖﾘｶﾜ,寄川
51116,ｶｸﾕｷ,鶴雪
44809,ｴﾐｺ,絵三子
67805,ｱｷﾐ,朗美
9690,ｱｿﾌﾞ,遊
33104,ｳﾉｽｹ,右之助
72320,ﾔﾏﾃﾞ,山出
41209,ｷｮｳｻﾌﾞﾛｳ,郷佐朗
1171,ﾊﾙﾖｼ,治慶
2413,ｶﾘﾅ,伽利奈
13925,ｱｷｻﾀﾞ,章定
69535,ｴｲｿﾞｳ,詠蔵
25027,ｱｷｴ,顕絵
78678,ﾊｹ,崖
5890,ｶｸﾐ,伽玖見
39798,ｻｲﾁﾛｳ,佐一朗
34172,ｶﾒｼﾞ,瓶司
3393,ｺｳｼ,皓沙
73964,ｷｴ,樹江
9100,ﾏﾐ,眞美
55461,ｻﾖ,更世
71309,ﾅｶｼﾞｷ,中食
32413,ｺｳｶ,皓花
68882,ｺｳﾔ,高伸
43144,ｽｴﾄﾓ,末友
74290,ｶｽﾞｺ,咲枝
34655,ｱﾔﾒ,彩女
50256,ｻﾜﾆｼ,澤西
13296,ｽﾉｾ,巣瀬
69689,ﾕｶ,優花
55751,ﾀﾂﾓﾄ,立元
18867,ｼﾞｮｳｼﾞ,穣久
17103,ｵｵﾊﾏ,大濱
60212,ﾑﾛﾔ,室矢
38151,ｸﾆｵ,国緒
30677,ｶﾅｴ,伽茄江
4232,ｶｽﾞﾐﾁ,数道
57454,ｺｳﾄｸ,幸篤
24970,ｴﾂｶｽﾞ,悦数
75717,ｱｴﾘ,藍江里
67019,ﾅｶﾞﾄ,永戸
76587,ﾏｻﾉﾘ,昌法
66429,ﾕﾘｴ,由梨恵
12122,ﾂｷｶﾜﾗ,槻川原
59926,ｷｭｳｻﾌﾞﾛｳ,丘三朗
43307,ｷｭｳｻﾌﾞﾛｳ,丘左郎
38442,ｲﾉｼﾞﾀ,亥下
70183,ｸｽﾐ,九州己
79402,ﾅｶﾞﾐ,長美
9938,ｶｽﾞｴ,一都枝
43621,ｻｲｲﾁ,斉市
33522,ｷｭｳｼﾛｳ,丘史朗
56984,ｹﾝｼﾞﾛｳ,健二郎
36648,ﾅﾂｷ,なつ紀
58205,ﾌﾄﾉ,太野
68667,ﾀｸﾛｳ,琢朗
42997,ﾌﾙﾔｼｷ,古屋敷
5119,ｸﾏｷﾘ,熊切
73392,ｻﾜｼﾏ,澤島
77376,ｶｽﾞﾖ,一依
17292,ｴｲﾀﾛｳ,映太郎
18791,ﾀｸﾏ,拓磨
8102,ｶｸｼﾞﾏ,角島
1708,ｱﾔﾐ,文己
50556,ｴﾋﾞﾅ,蝦姓
5317,ｳﾉｽｹ,右之佑
69787,ｼｮｳｻﾞﾌﾞﾛｳ,梢三郎
54596,ﾋﾛﾆﾜ,広庭
32252,ｱｻｼﾞ,麻治
57240,ﾐｵ,美織
39720,ｹｲﾚｲ,慶麗
25541,ｲｹﾉｳﾁ,池之内
79463,ｷﾝｼﾞﾛｳ,金久朗
